message-id,vendor-category,vendor-group,vendor-severity
4,System,Status,alert
5,Log,General,info
6,Log,E-Mail,info
10,Security Services,General,error
12,Log,E-Mail,warning
14,Security Services,Content Filter,error
16,Security Services,Content Filter,notice
22,Security Services,Attacks,alert
23,Security Services,Attacks,alert
24,Users,Authentication Access,info
25,Firewall Settings,Flood Protection,warning
27,Security Services,Attacks,alert
28,Network,IP,notice
29,Users,Authentication Access,info
30,Users,Authentication Access,alert
31,Users,Authentication Access,info
32,Users,Authentication Access,info
33,Users,Authentication Access,info
34,Users,Authentication Access,info
35,Users,Authentication Access,alert
36,Network,TCP,notice
37,Network,UDP,notice
38,Network,ICMP,notice
41,Network,Network Access,notice
43,VPN,VPN IPsec,debug
45,Network,ARP,debug
46,Network,Network Access,debug
48,Network,TCP,debug
53,System,Status,error
58,Network,Interfaces,error
61,VPN,VPN IPsec,error
63,Network,ICMP,debug
65,VPN,VPN IPsec,info
67,VPN,VPN IPsec,error
69,VPN,VPN IPsec,info
70,VPN,VPN IPsec,error
81,Security Services,Attacks,alert
82,Security Services,Attacks,alert
83,Security Services,Attacks,alert
84,Network,DNS,notice
87,VPN,VPN IKE,info
88,VPN,VPN IKE,warning
89,VPN,VPN IKE,info
93,System,Restart,error
94,System,Restart,error
95,System,Restart,error
96,System,GMS,info
97,Log,Syslog,info
98,Network,Network Access,info
99,Network,DHCP,Client,info
100,Network,DHCP Client,info
101,Network,DHCP Client,info
102,Network,DHCP Client,info
103,Network,DHCP Client,info
104,Network,DHCP Client,info
105,Network,DHCP Client,info
106,Network,DHCP Client,info
107,Network,DHCP Client,info
108,Network,DHCP Client,info
109,Network,DHCP Client,info
110,Network,DHCP Client,info
112,Network,DHCP Client,info
113,Network,DHCP Client,info
114,Network,DHCP Client,info
115,Network,DHCP Client,info
116,Network,DHCP Client,info
117,Network,DHCP Client,info
118,Network,DHCP Client,info
119,Network,DHCP Client,info
120,Network,DHCP Client,info
121,Network,DHCP Client,info
122,Network,DHCP Client,info
123,Security Services,Anti-Virus,info
124,Security Services,Anti-Virus,info
125,Security Services,Anti-Virus,warning
127,Network,PPPoE,info
128,Network,PPPoE,info
129,Network,PPPoE,info
